id,title,age_cat,rating_cat,genre_cat,runtime_cat,popularity_cat,score_cat,budget_cat,budget_efficiency_cat,director_age_cat,director_experience_cat,director_is_acclaimed,director_is_panned,director_efficiency_cat,star_age_cat,star_experience_cat,star_is_acclaimed,star_is_panned,star_efficiency_cat
3080,Clifford's Really Big Movie,old,G,Animation,short,low,very-low,low,high,adult,low,False,False,none,adult,mid,False,True,mid
3081,Harry Potter and the Goblet of Fire,old,PG-13,Adventure,long,very-high,very-high,very-high,high,elderly,mid,True,False,high,young,mid,True,False,high
3082,The 40-Year-Old Virgin,old,R,Comedy,medium,very-high,high,mid,high,adult,low,False,False,none,adult,low,False,False,none
3083,Memoirs of a Geisha,old,PG-13,Drama,long,very-high,high,very-high,mid,adult,low,False,False,high,young,low,False,False,none
3084,Pride & Prejudice,old,PG,Drama,long,very-high,very-high,mid,high,adult,low,False,False,none,young,low,False,False,none
3085,Batman Begins,old,PG-13,Action,long,very-high,very-high,very-high,mid,adult,mid,True,False,high,adult,mid,True,False,mid
3086,Brokeback Mountain,old,R,Drama,long,very-high,very-high,mid,high,adult,high,True,False,high,young,mid,True,False,low
3087,Sin City,old,R,Crime,long,very-high,very-high,high,high,adult,low,False,False,none,adult,high,False,True,low
3088,Charlie and the Chocolate Factory,old,PG,Adventure,medium,very-high,high,very-high,high,adult,high,True,False,high,adult,high,True,False,mid
3089,V for Vendetta,old,R,Action,long,very-high,very-high,high,mid,adult,low,False,False,none,adult,low,False,False,none
3090,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",old,PG,Adventure,long,very-high,high,very-high,high,adult,low,True,False,high,adult,low,False,False,mid
3091,Wedding Crashers,old,R,Comedy,medium,very-high,high,high,high,adult,low,False,False,low,adult,low,False,True,low
3092,War of the Worlds,old,PG-13,Adventure,medium,very-high,high,very-high,high,adult,high,True,False,high,adult,high,True,True,high
3093,Kingdom of Heaven,old,R,Action,long,very-high,high,very-high,mid,elderly,high,True,False,mid,young,low,False,False,none
3094,Constantine,old,R,Action,long,very-high,high,very-high,mid,adult,low,False,False,none,adult,high,True,False,high
3095,Star Wars: Episode III - Revenge of the Sith,old,PG-13,Action,long,very-high,very-high,very-high,high,elderly,low,False,False,high,young,mid,True,False,mid
3096,King Kong,old,PG-13,Action,long,very-high,high,very-high,high,adult,high,True,False,high,adult,low,True,False,high
3097,The Hitchhiker's Guide to the Galaxy,old,PG,Adventure,medium,very-high,high,high,mid,adult,low,False,False,none,adult,low,False,False,none
3098,Fantastic Four,old,PG-13,Action,medium,very-high,low,very-high,high,adult,low,False,True,high,adult,low,False,False,none
3099,Serenity,old,PG-13,Action,medium,very-high,very-high,high,mid,adult,low,False,False,none,adult,low,False,False,none
3100,Mr. & Mrs. Smith,old,PG-13,Action,long,very-high,high,very-high,high,adult,mid,True,False,high,adult,high,True,False,mid
3101,The Island,old,PG-13,Action,long,very-high,high,very-high,mid,adult,mid,True,False,high,young,mid,False,False,mid
3102,Waiting...,old,R,Comedy,medium,high,high,low,high,adult,low,False,False,none,young,low,False,False,high
3103,Match Point,old,R,Drama,long,very-high,very-high,mid,high,elderly,high,True,False,low,young,mid,False,False,mid
3104,Hostel,old,R,Horror,medium,very-high,low,low,high,adult,low,False,False,high,young,low,False,False,none
3105,Sky High,old,PG,Adventure,medium,high,low,high,mid,adult,low,False,False,high,adult,high,True,False,mid
3106,Assault on Precinct 13,old,R,Action,medium,high,low,high,mid,adult,low,False,False,none,adult,high,True,False,mid
3107,Madagascar,old,PG,Animation,short,very-high,high,very-high,high,adult,low,False,False,mid,adult,mid,False,True,mid
3108,Hard Candy,old,R,Drama,medium,very-high,high,low,high,adult,low,False,False,none,adult,low,False,False,none
3109,The Sisterhood of the Traveling Pants,old,PG,Comedy,medium,high,high,mid,mid,adult,low,False,False,low,young,low,False,False,none
3110,The Longest Yard,old,PG-13,Comedy,medium,very-high,high,very-high,mid,adult,mid,False,True,mid,adult,high,False,True,high
3111,Red Eye,old,PG-13,Other,short,very-high,high,mid,high,elderly,high,True,True,high,young,low,False,False,none
3112,House of Wax,old,R,Horror,medium,very-high,very-low,high,mid,adult,low,False,False,none,young,low,False,False,none
3113,Four Brothers,old,R,Action,medium,very-high,high,high,mid,adult,high,True,False,high,adult,mid,True,False,mid
3114,The Dukes of Hazzard,old,PG-13,Comedy,medium,high,very-low,high,mid,adult,low,False,False,high,young,low,False,False,none
3115,The Interpreter,old,PG-13,Crime,long,very-high,high,very-high,mid,elderly,high,True,True,high,adult,high,True,True,mid
3116,Walk the Line,old,PG-13,Biography,long,very-high,very-high,mid,high,adult,mid,False,False,mid,adult,mid,False,False,mid
3117,Lords of Dogtown,old,PG-13,Biography,medium,high,high,mid,low,adult,low,False,False,high,young,mid,False,True,mid
3118,Munich,old,R,Action,long,very-high,very-high,very-high,mid,adult,high,True,False,high,adult,low,False,False,mid
3119,Kiss Kiss Bang Bang,old,R,Comedy,medium,very-high,very-high,mid,mid,adult,low,False,False,none,adult,high,True,False,low
3120,The Constant Gardener,old,R,Drama,long,very-high,very-high,mid,high,adult,low,False,False,none,adult,high,True,True,mid
3121,The Pacifier,old,PG,Action,medium,high,low,high,high,adult,mid,False,True,high,adult,mid,False,False,mid
3122,A History of Violence,old,R,Drama,medium,very-high,very-high,high,mid,elderly,high,True,False,mid,adult,low,False,False,mid
3123,The Devil's Rejects,old,R,Horror,medium,high,high,low,mid,adult,low,False,False,mid,elderly,low,False,False,mid
3124,Hitch,old,PG-13,Comedy,medium,very-high,high,very-high,high,adult,mid,False,False,high,adult,high,False,True,high
3125,Mirrormask,old,PG,Adventure,medium,mid,high,low,low,adult,low,False,False,none,young,low,False,False,none
3126,Rent,old,PG-13,Drama,long,mid,high,high,low,adult,high,True,False,high,adult,low,False,False,high
3127,Robots,old,PG,Animation,medium,very-high,low,very-high,high,adult,low,True,False,high,adult,mid,True,True,mid
3128,Jarhead,old,R,Action,long,very-high,high,very-high,mid,adult,low,True,False,high,young,mid,True,False,low
3129,Into the Blue,old,PG-13,Action,medium,high,low,high,low,adult,low,False,False,mid,adult,mid,False,True,mid
3130,Saw II,old,R,Horror,medium,very-high,high,low,high,young,low,False,False,none,adult,low,False,False,none
3131,Flightplan,old,PG-13,Drama,medium,very-high,low,high,high,adult,low,False,False,none,adult,high,True,False,high
3132,Coach Carter,old,PG-13,Biography,long,very-high,high,high,mid,adult,low,False,False,high,adult,high,False,True,mid
3133,Dark Water,old,PG-13,Drama,medium,high,low,high,mid,adult,low,True,False,mid,adult,low,True,False,mid
3134,Lord of War,old,R,Action,long,very-high,very-high,high,mid,adult,low,True,False,mid,adult,high,True,True,mid
3135,Zathura: A Space Adventure,old,PG,Action,medium,high,low,very-high,mid,adult,low,False,False,high,young,low,False,False,none
3136,The Quiet,old,R,Crime,medium,mid,low,low,low,adult,low,False,False,mid,young,low,False,False,none
3137,The Amityville Horror,old,R,Horror,medium,very-high,low,mid,high,young,low,False,False,none,young,low,False,False,high
3138,Be Cool,old,PG-13,Comedy,medium,high,low,high,mid,adult,mid,False,False,high,adult,high,True,True,mid
3139,"Yours, Mine & Ours",old,PG,Comedy,short,mid,low,high,mid,adult,mid,False,True,high,adult,high,False,True,mid
3140,Cinderella Man,old,PG-13,Biography,long,very-high,very-high,very-high,mid,adult,high,True,False,high,adult,mid,True,False,mid
3141,Nanny McPhee,old,PG,Comedy,medium,high,high,mid,high,adult,low,True,False,high,adult,low,True,False,high
3142,The Brothers Grimm,old,PG-13,Action,medium,very-high,low,very-high,mid,elderly,high,True,False,mid,adult,high,True,False,mid
3143,Sahara,old,PG-13,Action,long,high,low,very-high,low,adult,low,False,False,none,adult,mid,True,False,mid
3144,Corpse Bride,old,PG,Animation,short,very-high,high,high,mid,adult,high,True,False,high,adult,high,True,False,mid
3145,Transporter 2,old,R,Action,short,very-high,low,high,mid,adult,low,False,False,mid,adult,low,False,False,mid
3146,Two for the Money,old,R,Crime,long,mid,low,high,low,adult,low,False,False,low,adult,mid,True,False,mid
3147,The New World,old,PG-13,Biography,long,high,high,high,mid,elderly,low,True,False,mid,young,mid,False,False,mid
3148,Brick,old,R,Action,medium,very-high,high,low,high,adult,low,False,False,none,young,low,False,False,low
3149,Wolf Creek,old,R,Horror,medium,high,low,low,high,adult,low,False,False,none,young,low,False,False,none
3150,The Exorcism of Emily Rose,old,PG-13,Drama,medium,very-high,high,mid,high,adult,low,False,False,none,adult,low,True,True,high
3151,Elektra,old,PG-13,Action,medium,high,very-low,high,mid,adult,mid,False,False,mid,adult,low,False,False,mid
3152,Doom,old,R,Action,medium,very-high,very-low,very-high,low,adult,mid,False,False,mid,adult,low,False,False,none
3153,The Legend of Zorro,old,PG,Action,long,high,low,very-high,mid,elderly,mid,False,False,mid,adult,high,False,True,mid
3154,Cheaper by the Dozen 2,old,PG,Adventure,medium,high,low,very-high,mid,adult,mid,False,True,high,elderly,high,True,True,mid
3155,Æon Flux,old,PG-13,Action,medium,very-high,low,very-high,low,adult,low,False,False,mid,adult,low,False,True,high
3156,Son of the Mask,old,PG,Comedy,medium,high,very-low,very-high,low,adult,low,False,True,high,adult,low,False,True,mid
3157,Rumor Has It...,old,PG-13,Comedy,medium,high,low,very-high,mid,adult,high,True,True,mid,adult,mid,False,False,high
3158,The Producers,old,PG-13,Comedy,long,mid,low,high,low,adult,low,False,False,none,adult,low,False,False,high
3159,Kicking & Screaming,old,PG,Comedy,medium,mid,low,high,mid,adult,low,False,False,mid,adult,low,False,False,high
3160,The Cave,old,PG-13,Action,medium,mid,very-low,high,mid,adult,low,False,False,none,young,low,False,False,mid
3161,Broken Flowers,old,R,Comedy,medium,very-high,high,mid,high,adult,mid,True,False,mid,adult,high,True,False,high
3162,Fun with Dick and Jane,old,PG-13,Comedy,medium,very-high,low,very-high,mid,adult,low,False,True,mid,adult,high,True,False,high
3163,Imagine Me & You,old,R,Comedy,medium,mid,high,low,low,adult,low,False,False,none,young,low,False,False,mid
3164,The Family Stone,old,PG-13,Comedy,medium,high,low,mid,high,adult,low,False,False,none,adult,low,False,False,low
3165,Just Like Heaven,old,PG-13,Comedy,medium,very-high,high,high,mid,adult,mid,False,False,high,young,mid,False,True,high
3166,Capote,old,R,Biography,medium,very-high,high,low,high,adult,low,False,False,none,adult,low,False,False,low
3167,The Skeleton Key,old,PG-13,Drama,medium,very-high,high,high,mid,adult,low,True,False,low,young,low,False,False,mid
3168,The Squid and the Whale,old,R,Comedy,short,high,high,low,high,adult,low,False,False,none,young,low,False,False,none
3169,Land of the Dead,old,R,Horror,medium,high,low,mid,high,elderly,mid,False,False,mid,adult,low,False,True,low
3170,Man of the House,old,PG-13,Comedy,medium,mid,very-low,high,low,adult,high,False,True,high,adult,high,False,False,mid
3171,Elizabethtown,old,PG-13,Comedy,long,high,high,high,mid,adult,mid,True,False,high,young,low,False,False,none
3172,Chicken Little,old,G,Animation,short,high,low,very-high,mid,adult,low,True,False,low,adult,low,True,False,high
3173,Monster-in-Law,old,PG-13,Comedy,medium,high,low,high,high,adult,low,False,False,high,adult,high,False,True,mid
3174,Domino,old,R,Action,long,high,low,high,low,elderly,high,True,False,high,young,low,False,False,none
3175,The Ring Two,old,PG-13,Horror,medium,high,very-low,high,high,adult,low,False,False,none,adult,low,True,False,high
3176,Deuce Bigalow: European Gigolo,old,R,Comedy,short,mid,very-low,mid,mid,adult,low,False,False,none,adult,low,False,True,high
3177,Harsh Times,old,R,Action,medium,high,high,low,mid,adult,low,False,False,none,adult,mid,True,False,mid
3178,Diary of a Mad Black Woman,old,PG-13,Comedy,medium,mid,low,low,high,adult,low,False,False,none,adult,low,False,False,none
3179,Herbie Fully Loaded,old,G,Adventure,medium,mid,very-low,high,mid,adult,low,False,True,low,young,low,False,True,high
3180,Wallace & Gromit: The Curse of the Were-Rabbit,old,G,Animation,short,very-high,very-high,high,high,adult,low,False,False,none,elderly,low,False,False,none
3181,The Jacket,old,R,Drama,medium,very-high,high,mid,low,adult,low,False,False,none,adult,low,True,False,high
3182,The Wedding Date,old,PG-13,Comedy,medium,high,low,mid,high,adult,low,False,False,low,adult,low,False,False,low
3183,Thank You for Smoking,old,R,Comedy,medium,very-high,very-high,low,high,young,low,False,False,none,adult,low,False,False,high
3184,Hide and Seek,old,R,Drama,medium,high,low,high,high,adult,low,False,True,high,elderly,high,True,True,mid
3185,Cursed,old,PG-13,Comedy,medium,mid,very-low,high,low,elderly,high,True,True,high,young,low,False,False,mid
3186,Miss Congeniality 2: Armed & Fabulous,old,PG-13,Action,medium,high,very-low,high,mid,elderly,low,False,True,high,adult,high,False,True,high
3187,Bad News Bears,old,PG-13,Comedy,medium,mid,low,high,low,adult,high,True,False,high,adult,mid,True,False,high
3188,Fever Pitch,old,PG-13,Comedy,medium,mid,low,high,mid,adult,high,False,False,high,adult,high,False,True,mid
3189,xXx: State of the Union,old,PG-13,Action,medium,high,very-low,very-high,low,adult,mid,False,False,mid,adult,mid,False,False,high
3190,Syriana,old,R,Drama,long,very-high,high,high,mid,adult,low,False,True,low,adult,high,True,False,mid
3191,North Country,old,R,Drama,long,mid,high,high,low,adult,low,True,False,high,adult,low,False,True,high
3192,Derailed,old,R,Crime,medium,high,high,mid,mid,adult,low,False,False,none,adult,low,False,False,mid
3193,The Perfect Man,old,PG,Comedy,medium,mid,low,mid,mid,adult,low,False,False,high,young,mid,False,False,mid
3194,Unleashed,old,R,Action,medium,very-high,high,high,mid,adult,low,False,False,mid,adult,mid,True,False,high
3195,Hostage,old,R,Action,medium,very-high,high,high,mid,adult,low,False,False,none,adult,high,True,True,mid
3196,The Greatest Game Ever Played,old,PG,Biography,long,mid,very-high,mid,low,adult,low,False,False,mid,young,low,False,False,high
3197,Get Rich or Die Tryin',old,R,Biography,medium,mid,very-low,high,mid,adult,low,True,False,high,adult,low,False,False,none
3198,Bewitched,old,PG-13,Comedy,medium,high,very-low,very-high,mid,elderly,mid,False,True,high,adult,high,True,True,mid
3199,Hoodwinked,old,PG,Animation,short,high,high,high,high,adult,low,False,False,none,young,low,False,False,mid
3200,BloodRayne,old,R,Action,medium,mid,very-low,mid,low,adult,low,False,True,mid,young,low,False,False,none
3201,The Three Burials of Melquiades Estrada,old,R,Adventure,long,mid,very-high,mid,low,adult,low,False,False,none,adult,high,False,False,mid
3202,Feast,old,R,Action,medium,mid,low,low,low,adult,low,False,False,none,young,low,False,False,none
3203,Goal! The Dream Begins,old,PG,Adventure,medium,high,high,mid,mid,adult,low,False,True,low,young,low,False,False,none
3204,Man-Thing,old,R,Action,medium,low,very-low,high,low,adult,mid,False,True,mid,elderly,low,False,False,none
3205,"Good Night, and Good Luck.",old,PG,Biography,medium,high,very-high,low,high,adult,low,False,False,mid,adult,low,False,False,none
3206,A Lot Like Love,old,PG-13,Comedy,medium,high,high,high,mid,adult,low,False,False,high,young,mid,True,True,high
3207,Cry Wolf,old,PG-13,Drama,medium,mid,low,low,high,young,low,False,False,none,young,low,False,False,none
3208,The Proposition,old,R,Crime,medium,high,high,mid,low,adult,low,False,False,none,adult,low,False,False,none
3209,The World's Fastest Indian,old,PG-13,Biography,long,high,very-high,mid,low,elderly,high,False,False,mid,elderly,high,True,False,mid
3210,Stealth,old,PG-13,Action,long,high,very-low,very-high,low,adult,high,False,False,high,adult,low,False,False,none
3211,Hustle & Flow,old,R,Crime,medium,mid,high,low,high,adult,low,False,False,none,adult,low,False,False,none
3212,The Matador,old,R,Comedy,medium,mid,high,mid,mid,adult,low,False,False,none,adult,high,False,False,mid
3213,The Fog,old,PG-13,Horror,medium,mid,very-low,mid,mid,adult,low,False,False,high,young,low,False,False,none
3214,Because of Winn-Dixie,old,PG,Comedy,medium,mid,low,mid,mid,adult,mid,True,True,mid,young,low,False,False,none
3215,Where the Truth Lies,old,Unrated,Crime,medium,mid,high,mid,low,adult,low,False,False,none,adult,high,False,False,mid
3216,Must Love Dogs,old,PG-13,Comedy,medium,mid,low,high,mid,elderly,low,False,False,mid,adult,mid,False,False,mid
3217,Guess Who,old,PG-13,Comedy,medium,mid,low,high,mid,adult,low,False,False,mid,young,mid,True,True,high
3218,The Ballad of Jack and Rose,old,R,Drama,medium,mid,high,low,low,adult,low,False,False,none,adult,mid,True,False,mid
3219,Stay,old,R,Drama,medium,high,high,high,low,adult,low,True,False,high,adult,mid,True,True,mid
3220,The Great Raid,old,R,Action,long,mid,high,very-high,low,adult,high,False,False,mid,adult,low,False,False,none
3221,Tideland,old,R,Drama,long,mid,high,mid,low,elderly,high,True,False,mid,adult,high,True,False,mid
3222,Alone in the Dark,old,R,Action,medium,mid,very-low,mid,low,adult,low,False,True,mid,adult,high,True,False,mid
3223,An American Haunting,old,PG-13,Drama,short,mid,very-low,mid,mid,adult,low,False,True,low,elderly,mid,True,True,high
3224,Supercross,old,PG-13,Action,short,low,very-low,mid,low,adult,low,False,True,low,young,low,False,False,none
3225,Oliver Twist,old,PG-13,Crime,long,mid,high,very-high,low,elderly,high,True,False,mid,young,low,False,False,none
3226,White Noise,old,PG-13,Drama,medium,mid,low,mid,high,adult,low,False,False,none,adult,high,True,True,mid
3227,Are We There Yet?,old,PG,Adventure,medium,mid,very-low,high,high,adult,mid,False,True,high,adult,mid,False,False,high
3228,Proof,old,PG-13,Drama,medium,mid,high,mid,low,adult,low,False,False,high,adult,high,False,True,mid
3229,Racing Stripes,old,PG,Adventure,medium,mid,very-low,high,high,adult,low,False,False,low,young,mid,False,True,high
3230,A Sound of Thunder,old,PG-13,Action,medium,mid,very-low,very-high,low,elderly,high,False,True,mid,adult,low,False,False,mid
3231,The Weather Man,old,R,Comedy,medium,high,high,mid,low,adult,mid,True,False,high,adult,high,True,True,mid
3232,Keeping Mum,old,R,Comedy,medium,mid,high,low,high,adult,low,False,False,none,adult,low,False,False,high
3233,An Unfinished Life,old,PG-13,Drama,medium,mid,high,high,low,adult,mid,True,False,mid,adult,high,False,True,mid
3234,Boogeyman,old,PG-13,Drama,short,mid,very-low,mid,high,adult,low,False,True,low,adult,low,False,False,mid
3235,Me and You and Everyone We Know,old,R,Comedy,medium,mid,high,low,high,adult,low,False,False,none,adult,low,False,False,none
3236,Transamerica,old,R,Adventure,medium,mid,very-high,low,high,adult,low,False,False,none,adult,low,False,False,none
3237,The Lost City,old,R,Drama,long,low,high,low,low,adult,low,False,False,none,adult,low,False,False,low
3238,The Upside of Anger,old,R,Comedy,medium,mid,high,mid,mid,adult,low,False,True,low,adult,low,False,False,mid
3239,The Chumscrubber,old,R,Comedy,medium,mid,high,low,low,adult,low,False,False,none,young,low,True,False,high
3240,The Man,old,PG-13,Action,short,mid,low,high,low,adult,mid,False,True,mid,adult,high,False,True,mid
3241,Valiant,old,G,Animation,short,mid,low,high,mid,adult,low,False,False,none,adult,mid,True,True,mid
3242,Prime,old,PG-13,Comedy,medium,mid,low,mid,high,adult,low,False,False,high,adult,mid,True,True,mid
3243,Manderlay,old,Unrated,Drama,long,mid,high,mid,low,adult,low,True,False,mid,young,low,False,False,none
3244,Junebug,old,R,Comedy,medium,mid,high,low,high,adult,low,False,False,none,adult,low,False,False,none
3245,Dominion,old,R,Drama,medium,mid,very-low,high,low,adult,high,True,False,mid,adult,low,False,True,low
3246,Dreamer,old,PG,Drama,medium,mid,high,high,mid,adult,low,False,False,none,adult,high,True,False,mid
3247,Factotum,old,R,Comedy,medium,mid,high,low,mid,adult,low,False,False,none,adult,mid,False,False,low
3248,Everything Is Illuminated,old,PG-13,Comedy,medium,high,very-high,low,low,adult,low,False,False,none,young,mid,True,True,high
3249,Thumbsucker,old,R,Comedy,medium,mid,high,low,low,adult,low,False,False,none,young,low,False,False,none
3250,Rebound,old,PG,Comedy,short,mid,very-low,high,low,adult,mid,False,True,high,adult,high,False,True,mid
3251,The Departed,old,R,Crime,long,very-high,very-high,very-high,high,elderly,high,True,False,mid,adult,high,True,False,high
3252,The Fast and the Furious: Tokyo Drift,old,PG-13,Action,medium,very-high,low,very-high,mid,adult,low,False,False,high,young,low,False,False,none
3253,Talladega Nights: the Ballad of Ricky Bobby,old,PG-13,Comedy,medium,very-high,high,very-high,mid,adult,low,False,False,high,adult,mid,False,False,high
3254,The Prestige,old,PG-13,Drama,long,very-high,very-high,high,mid,adult,mid,True,False,high,adult,high,True,False,mid
3255,Cars,old,G,Animation,medium,very-high,high,very-high,high,adult,mid,True,False,high,adult,low,False,True,high
3256,300,old,R,Action,medium,very-high,very-high,very-high,high,adult,low,False,False,high,adult,low,False,True,mid
3257,The Devil Wears Prada,old,PG-13,Comedy,medium,very-high,high,high,high,adult,low,False,False,none,young,mid,False,False,mid
3258,Casino Royale,old,PG-13,Action,long,very-high,very-high,very-high,high,elderly,high,False,False,mid,adult,low,False,False,none
3259,Pan's Labyrinth,old,R,Drama,medium,very-high,very-high,mid,high,adult,mid,True,False,mid,young,low,False,False,none
3260,Pirates of the Caribbean: Dead Man's Chest,old,PG-13,Action,long,very-high,high,very-high,high,adult,mid,True,False,high,adult,high,True,False,mid
3261,Apocalypto,old,R,Action,long,very-high,very-high,high,high,adult,low,True,False,high,adult,low,False,False,none
3262,She's the Man,old,PG-13,Comedy,medium,very-high,low,mid,mid,adult,low,False,False,none,young,low,False,False,mid
3263,Little Children,old,R,Drama,long,very-high,very-high,mid,low,adult,low,True,False,high,adult,low,False,False,low
3264,Children of Men,old,R,Adventure,medium,very-high,very-high,very-high,low,adult,mid,True,False,high,adult,mid,True,False,mid
3265,The Da Vinci Code,old,PG-13,Other,long,very-high,high,very-high,high,adult,high,True,False,high,adult,high,True,False,high
3266,The Pursuit of Happyness,old,PG-13,Biography,medium,very-high,very-high,high,high,adult,low,False,False,none,adult,high,False,True,high
3267,Little Miss Sunshine,old,R,Comedy,medium,very-high,very-high,low,high,adult,low,False,False,none,adult,low,False,False,high
3268,The Last King of Scotland,old,R,Biography,long,very-high,very-high,low,high,adult,low,False,False,none,young,low,False,False,none
3269,Blood Diamond,old,R,Adventure,long,very-high,very-high,very-high,mid,adult,high,True,False,high,adult,high,True,False,high
3270,The Lives of Others,old,R,Drama,long,very-high,very-high,low,high,adult,low,False,False,none,adult,low,False,False,none
3271,Night at the Museum,old,PG,Adventure,medium,very-high,high,very-high,high,adult,mid,False,False,high,adult,high,False,True,high
3272,Mission: Impossible III,old,PG-13,Action,long,very-high,high,very-high,mid,adult,low,False,False,none,adult,high,True,True,high
3273,Marie Antoinette,old,PG-13,Biography,long,very-high,high,high,mid,adult,low,True,False,high,young,high,False,False,mid
3274,Inside Man,old,R,Crime,long,very-high,very-high,high,high,adult,high,True,True,mid,adult,high,True,False,mid
3275,Running Scared,old,R,Action,long,high,high,mid,low,adult,low,False,False,high,adult,mid,False,True,mid
3276,Accepted,old,PG-13,Comedy,medium,very-high,high,mid,mid,adult,low,False,False,none,young,low,False,False,none
3277,Superman Returns,old,PG-13,Action,long,very-high,low,very-high,mid,adult,mid,True,False,high,adult,low,False,False,none
3278,Slither,old,R,Comedy,medium,high,high,mid,low,adult,low,False,False,none,young,low,True,False,mid
3279,Nacho Libre,old,PG,Comedy,medium,high,low,high,mid,young,low,False,False,high,adult,low,False,False,high
3280,The Covenant,old,PG-13,Action,medium,mid,very-low,mid,mid,adult,high,False,True,mid,adult,low,False,False,none
3281,The Hills Have Eyes,old,R,Horror,medium,very-high,high,mid,high,young,low,False,False,none,young,low,False,False,none
3282,The Fountain,old,PG-13,Drama,medium,very-high,high,high,low,adult,low,True,False,high,adult,low,False,False,mid
3283,X-Men: the Last Stand,old,PG-13,Action,medium,very-high,high,very-high,mid,adult,high,False,False,high,adult,high,True,False,mid
3284,Underworld: Evolution,old,R,Action,medium,very-high,high,high,mid,adult,low,False,False,high,elderly,low,False,False,high
3285,Click,old,PG-13,Comedy,medium,very-high,high,very-high,mid,adult,mid,False,False,high,adult,high,False,True,high
3286,The Holiday,old,PG-13,Comedy,long,very-high,high,very-high,mid,adult,low,False,False,high,adult,low,False,False,low
3287,Silent Hill,old,R,Horror,long,very-high,high,high,mid,adult,low,False,False,mid,adult,low,False,False,mid
3288,Basic Instinct 2,old,R,Drama,medium,mid,very-low,very-high,low,adult,high,False,False,mid,adult,mid,False,True,mid
3289,The Black Dahlia,old,R,Crime,long,high,low,high,low,elderly,high,True,False,mid,adult,mid,True,False,mid
3290,Perfume: The Story of a Murderer,old,R,Crime,long,very-high,very-high,very-high,mid,adult,low,False,False,low,young,low,False,False,none
3291,Lucky Number Slevin,old,R,Crime,medium,very-high,very-high,mid,mid,adult,low,False,False,low,young,mid,True,False,mid
3292,Smokin' Aces,old,R,Action,medium,very-high,high,mid,high,adult,low,False,False,mid,young,low,False,False,low
3293,Deja Vu,old,PG-13,Action,long,very-high,high,very-high,mid,elderly,high,True,False,mid,adult,high,True,False,mid
3294,RV,old,PG,Adventure,medium,high,low,high,mid,adult,high,False,True,mid,adult,high,True,True,high
3295,Tenacious D in the Pick of Destiny,old,R,Adventure,medium,very-high,high,mid,low,adult,low,False,False,none,adult,low,False,False,high
3296,Black Book,old,R,Drama,long,high,very-high,mid,mid,elderly,high,True,True,high,adult,low,False,False,none
3297,Step Up,old,PG-13,Crime,medium,very-high,high,mid,high,adult,low,False,False,none,adult,low,False,False,none
3298,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,old,R,Comedy,short,very-high,high,mid,high,adult,low,False,False,none,young,low,False,False,none
3299,Snakes on a Plane,old,R,Action,medium,very-high,very-low,high,mid,adult,low,False,False,mid,adult,high,False,True,mid
3300,Lady in the Water,old,PG-13,Drama,medium,high,low,very-high,mid,adult,mid,True,False,high,adult,low,True,False,high
3301,Crank,old,R,Action,short,very-high,high,mid,high,adult,low,False,False,none,adult,low,False,False,mid
3302,The Illusionist,old,PG-13,Drama,medium,very-high,very-high,mid,high,adult,low,False,False,none,adult,low,True,False,mid
3303,Over the Hedge,old,PG,Animation,short,very-high,high,very-high,high,elderly,low,False,False,none,adult,high,True,True,mid
3304,Final Destination 3,old,R,Horror,medium,very-high,low,mid,high,adult,low,False,False,high,adult,low,False,False,none
3305,Stranger Than Fiction,old,PG-13,Comedy,medium,very-high,very-high,high,mid,adult,mid,True,False,high,young,mid,False,False,high
3306,Aquamarine,old,PG,Comedy,medium,mid,very-low,mid,mid,young,low,False,False,none,adult,low,False,False,none
3307,Scary Movie 4,old,PG-13,Comedy,short,very-high,very-low,high,high,adult,mid,True,True,high,young,mid,False,True,high
3308,The Fall,old,R,Adventure,medium,very-high,very-high,high,low,adult,low,False,False,high,adult,low,False,False,none
3309,John Tucker Must Die,old,PG-13,Comedy,short,high,low,mid,high,adult,mid,False,True,mid,young,low,False,False,none
3310,The Good Shepherd,old,R,Drama,long,very-high,high,very-high,low,elderly,low,True,False,low,young,high,True,False,mid
3311,Rocky Balboa,old,PG,Action,medium,very-high,high,mid,high,elderly,mid,False,True,high,adult,high,True,True,mid
3312,Eragon,old,PG,Action,medium,very-high,very-low,very-high,mid,adult,low,False,False,none,elderly,low,False,False,none
3313,Dreamgirls,old,PG-13,Drama,long,high,high,very-high,mid,adult,mid,True,True,mid,young,low,False,False,none
3314,Babel,old,R,Drama,long,very-high,very-high,mid,high,adult,low,True,False,high,young,high,True,False,mid
3315,A Good Year,old,PG-13,Comedy,medium,high,high,high,mid,elderly,high,True,False,mid,adult,high,True,False,mid
3316,Miami Vice,old,R,Action,long,very-high,low,very-high,mid,elderly,high,True,False,mid,adult,mid,False,False,mid
3317,Saw III,old,R,Crime,medium,very-high,low,mid,high,young,low,False,False,high,adult,low,False,False,none
3318,Happy Feet,old,PG,Animation,medium,very-high,high,very-high,high,elderly,high,True,True,high,elderly,high,True,True,high
3319,The Texas Chainsaw Massacre: the Beginning,old,R,Horror,medium,high,low,mid,high,adult,low,False,True,high,young,low,False,False,mid
